date,current,biogas_vol,h2s_ppm,t1_ph,t1_cod,eq_cod,t1_olr,fostac
2024-11-04,497.4220000000001,300.0,664.0,7.0,1390.0,39900.0,2.9925,0.14
2024-11-05,545.21,690.0,650.0,7.0,1695.0,31400.0,2.3550000000000004,0.16
2024-11-06,519.733,660.0,634.0,7.0,1481.0,26700.0,2.0024999999999995,0.15
2024-11-07,506.521,770.0,538.0,7.0,1934.0,27500.0,2.0624999999999996,0.16
2024-11-08,484.783,740.0,522.0,7.0,1601.0,32900.0,2.4675,0.16
2024-11-11,440.825,760.0,431.0,6.9,1787.0,30500.0,2.6687499999999997,0.16
2024-11-12,469.71,1130.0,463.0,6.8999999999999995,1301.0,25800.0,2.2575,0.18
2024-11-13,438.22700000000003,1120.0,441.0,6.825,1919.0,31325.0,2.8437499999999996,0.17250000000000001
2024-11-14,442.49000000000007,1130.0,393.0,6.9,1648.0,27800.0,2.4324999999999997,0.17
2024-11-15,439.18100000000004,1060.0,480.0,6.9,3268.0,28200.0,2.4675,0.16
2024-11-16,437.033,1070.0,489.0,7.0,2260.0,25500.0,2.2312499999999997,0.13
2024-11-19,430.155,1000.0,449.0,6.9,1118.0,38000.0,3.7990501594543455,0.11999999999999998
2024-11-20,362.153,1160.0,412.0,6.825,2227.5,31475.0,2.9292676229476933,0.1675
2024-11-21,365.637,1160.0,436.0,6.9,1602.0,30700.0,3.0692326288223266,0.16
2024-11-22,347.329,1190.0,444.0,6.8,2553.0,40000.0,3.9990001678466793,0.15
2024-11-23,394.90000000000003,1550.0,456.46491228070175,6.825,2169.5,40000.0,3.9990001678466793,0.1475
2024-11-24,398.83000000000004,1540.0,480.82163742690057,6.85,1786.0,40000.0,5.0,0.14500000000000002
2024-11-25,440.2029999999999,1550.0,493.0,6.8875,1210.75,49133.33333333333,6.2749999999999995,0.14125000000000001
2024-11-26,456.3,2220.0,479.0,6.816666666666666,3254.166666666666,44866.66666666667,5.475,0.2333333333333333
2024-11-27,460.438,1950.0,530.0,6.883333333333334,5338.833333333333,28875.0,3.7375000000000003,0.20666666666666667
2024-11-28,430.15200000000004,1540.0,492.0,6.9,5667.0,25800.0,3.225,0.21
2024-11-29,423.71400000000006,1710.0,486.0,6.8999999999999995,4583.0,37600.0,4.699999999999999,0.16
2024-11-30,459.543,1970.0,449.9302325581395,6.933333333333334,4126.333333333333,37600.0,4.699999999999999,0.16333333333333333
2024-12-01,482.28200000000004,1910.0,379.8401162790698,6.966666666666667,3669.6666666666665,37600.0,4.699999999999999,0.16666666666666669
2024-12-02,497.763,1910.0,345.0,7.0,3213.0,56500.0,8.475,0.17
2024-12-03,508.60099999999994,2230.0,421.0,6.9,4633.0,78400.0,11.759999999999998,0.23
2024-12-04,410.308,1180.0,439.0,6.9,2245.0,54300.0,8.144999999999998,0.14
2024-12-05,527.77,1300.0,530.0,6.9,1558.0,50000.0,7.5,0.12
2024-12-06,686.108,1830.0,204.0,6.9,1533.5,45300.0,3.3975,0.25
2024-12-07,533.61,1240.0,209.1968503937008,6.9,1509.0,45300.0,2.827421229384286,0.19
2024-12-08,464.474,610.0,219.4724409448819,6.9,1484.5,45300.0,1.7002200238486698,0.13
2024-12-09,459.455,600.0,229.2755905511811,6.9,1460.0,33900.0,1.1301412532329558,0.07
2024-12-10,430.30299999999994,830.0,234.0,6.8,3360.0,39900.0,1.9950000000000003,0.22000000000000003
2024-12-11,452.442,1150.0,294.0,6.95,3622.5,29700.0,1.315,0.1225
2024-12-12,471.40000000000003,1570.0,224.0,6.8,3900.0,44900.0,3.743537328720093,0.19
2024-12-13,527.413,1970.0,272.0,6.6,3097.0,38700.0,4.8374999999999995,0.27
2024-12-14,602.729,2080.0,275.0403071017274,6.666666666666667,2843.6666666666665,38700.0,4.8374999999999995,0.24000000000000002
2024-12-15,641.32,2120.0,281.1209213051823,6.733333333333333,2590.3333333333335,38700.0,4.8374999999999995,0.20999999999999996
2024-12-16,613.053,1790.0,296.0806142034549,6.75,3077.5,34600.0,4.5625,0.19999999999999998
2024-12-17,590.939,1700.0,308.0,6.7,3606.0,28900.0,3.6125000000000003,0.22000000000000003
2024-12-18,567.574,1690.0,319.0,6.5,3065.0,30800.0,3.85,0.32
2024-12-19,553.18,1560.0,357.0,6.7,3710.0,32500.0,4.0625,0.26
2024-12-20,501.47499999999997,1250.0,335.0,6.625,3586.5,37200.0,2.325,0.2525
2024-12-21,418.955,520.0,355.36918604651163,6.65,3463.0,37200.0,2.334920058139535,0.225
2024-12-22,402.638,370.0,393.6453488372093,6.699999999999999,3380.6666666666665,37200.0,2.353561046511628,0.19999999999999998
2024-12-23,397.848,720.0,412.0,6.775,3257.166666666667,44600.0,2.3625,0.1625
2024-12-24,446.595,1800.0,385.0,6.9,3233.0,65000.0,8.125,0.2
2024-12-25,457.647,1880.0,368.4057142857143,6.866666666666668,3240.0,65000.0,8.125,0.20333333333333334
2024-12-26,481.93000000000006,1670.0,335.5942857142857,6.833333333333333,3247.0,65000.0,8.125,0.20666666666666667
2024-12-27,461.139,1600.0,319.0,6.8,3254.0,56000.0,6.999999999999998,0.20999999999999996
2024-12-28,496.405,2020.0,361.1615384615385,6.725,4159.25,56000.0,6.999999999999998,0.3825
2024-12-29,453.98999999999995,870.0,446.4884615384615,6.65,5064.5,56000.0,1.1661999893188475,0.555
2024-12-30,506.219,1420.0,534.8269230769231,6.575000000000001,5969.75,56000.0,12.599999999999998,0.7275
2024-12-31,790.962,2660.0,580.0,6.5,6875.0,64200.0,8.024999999999999,0.9
2025-01-01,689.424,2320.0,535.5,6.55,6578.5,64200.0,8.024999999999999,0.75
2025-01-02,634.871,1860.0,491.0,6.55,6289.0,53775.0,6.2875,0.66
2025-01-03,609.346,1410.0,545.0,6.4750000000000005,5931.75,46025.0,1.1105400042533875,0.755
2025-01-04,441.97300000000007,1020.0,500.2631578947368,6.700000000000001,4797.0,44600.0,2.0069999999999997,0.5
2025-01-05,407.14500000000004,750.0,410.7894736842105,6.8500000000000005,4040.5,44600.0,2.0069999999999997,0.32999999999999996
2025-01-06,396.945,820.0,365.0,7.0,3284.0,31200.0,1.404,0.16
2025-01-07,397.98,860.0,321.0,6.925,3461.75,39075.0,1.925,0.19749999999999998
2025-01-08,388.808,790.0,331.0,6.9750000000000005,3609.5,38750.0,1.5300000000000002,0.195
2025-01-09,395.204,510.0,12.0,7.0,2687.0,32600.0,1.2224999999999997,0.16
2025-01-10,393.74,780.0,4.0,7.0,3578.75,36450.0,2.05875,0.16
2025-01-11,384.423,720.0,9.034168564920273,6.950000000000001,3672.5,36000.0,2.475,0.1675
2025-01-12,385.9889999999999,870.0,19.339407744874716,6.9,3469.0,36000.0,2.925,0.175
2025-01-13,392.2060000000001,760.0,35.09339407744875,6.825,3163.75,31275.0,2.58125,0.18625
2025-01-14,367.51,670.0,50.72892938496584,7.0,16500.0,36600.0,3.2025,0.18
2025-01-15,387.949,850.0,56.0,7.0,15200.0,34300.0,3.00125,0.18
2025-01-16,356.982,1040.0,91.0,7.05,16850.0,36475.0,3.4875,0.16999999999999998
2025-01-17,403.99,1110.0,3.0,6.925000000000001,14375.0,36975.0,3.6899999999999995,0.19999999999999998
2025-01-18,415.53000000000003,1190.0,34.39181286549707,7.0,12800.0,36900.0,3.6899999999999995,0.2
2025-01-19,402.791,1140.0,95.03508771929823,7.05,11750.0,36900.0,3.9206250000000002,0.2
2025-01-20,395.66,1160.0,125.0,7.1,10700.0,27000.0,2.8687500000000004,0.2
2025-01-21,445.15399999999994,1040.0,5.0,7.0,12600.0,30300.0,3.4087499999999995,0.18
2025-01-22,351.593,1090.0,56.0,6.916666666666667,11096.666666666668,34050.0,3.9712499999999995,0.21166666666666667
2025-01-23,533.054,1310.0,88.0,6.966666666666667,9886.666666666666,30300.0,3.5981249999999996,0.18666666666666668
2025-01-24,515.971,400.0,120.0,7.0,9080.0,48400.0,5.746894870758057,0.17
2025-01-27,477.60099999999994,220.0,206.0,7.1000000000000005,12300.0,48500.0,3.0306438517570493,0.09999999999999999
2025-01-28,526.72,720.0,219.0,6.8,11200.0,49000.0,3.0618876028060913,0.23
2025-01-29,530.925,670.0,218.0,6.9,7040.0,46400.0,3.1899999999999995,0.12
2025-01-30,505.266,680.0,217.0,6.875,15000.0,45200.0,3.64,0.2275
2025-01-31,513.965,840.0,240.0,6.8,16100.0,46975.0,3.875624999999999,0.20750000000000002
2025-02-01,512.807,810.0,244.20058139534882,6.799999999999999,18500.0,47700.0,3.8756249999999985,0.16999999999999998
2025-02-02,535.997,810.0,252.6511627906977,6.8,20100.0,47700.0,3.8756249999999994,0.145
2025-02-03,531.194,860.0,257.0,6.8,21700.0,66400.0,5.81,0.12000000000000001
2025-02-04,513.02,1320.0,103.0,6.8,23300.0,47900.0,4.490625,0.28
2025-02-05,530.575,1190.0,257.0,6.900000000000001,34600.0,49200.0,4.6125,0.52
2025-02-06,541.555,1220.0,275.0,6.825,28000.0,72150.0,8.478750000000002,0.34500000000000003
2025-02-07,563.608,1680.0,7.0,6.9,21100.0,69000.0,7.33125,0.24
2025-02-08,566.41,2110.0,45.23699421965318,6.866666666666666,23133.333333333332,69000.0,7.762500000000001,0.25
2025-02-09,582.577,1870.0,118.31213872832369,6.833333333333333,25166.666666666668,69000.0,8.19375,0.26
2025-02-10,600.605,2020.0,154.0,6.8,27200.0,63800.0,7.975,0.26999999999999996
2025-02-11,593.775,1810.0,208.0,6.8,26975.0,60700.0,5.0828252792358395,0.285
2025-02-12,425.492,340.0,235.5,7.0,32465.0,59500.0,4.896262188125075,0.2525
2025-02-13,322.632,590.0,263.0,7.0,32960.0,84200.0,4.619082738474796,0.26
2025-02-14,307.807,480.0,277.47741935483873,6.96,31928.0,76880.0,4.434651796976725,0.272
2025-02-15,288.361,440.0,305.7741935483871,6.920000000000001,30896.0,69560.0,4.251286930285001,0.28400000000000003
2025-02-16,309.687,370.0,333.741935483871,6.88,29864.0,62240.0,4.070054213205973,0.29600000000000004
2025-02-17,317.1137958452722,510.0,356.2806451612903,6.84,28832.0,54920.0,3.924001964736403,0.30799999999999994
2025-02-18,330.846361747851,1670.0,365.0,6.8,27800.0,47600.0,3.8674999999999993,0.32
2025-02-19,359.993032234957,1670.0,339.0,6.95,30050.0,51950.0,4.9125,0.215
2025-02-20,395.30534455587394,2170.0,359.0,7.0,18000.0,50600.0,5.37625,0.26
2025-02-21,432.5794520057307,2330.0,385.0,6.925,22500.0,62000.0,6.5874999999999995,0.31250000000000006
2025-02-22,469.29304656160457,1410.0,377.2089552238806,6.766666666666666,23400.0,62000.0,2.4544250059127806,0.4699999999999999
2025-02-23,493.25497277936955,600.0,361.8955223880597,6.633333333333334,22800.0,62000.0,4.007212502956389,0.61
2025-02-24,505.30600000000004,1650.0,346.67164179104475,6.5,22200.0,55600.0,5.559999999999999,0.75
2025-02-25,491.836,2110.0,331.35820895522386,7.0,28400.0,56800.0,2.8399999999999994,0.82
2025-02-26,501.14,1250.0,308.07462686567163,7.0600000000000005,20825.0,40850.0,2.6874999999999996,0.35500000000000004
2025-02-27,440.49199999999996,1490.0,284.7910447761194,7.120000000000001,18200.0,34400.0,4.08456990814209,0.23
2025-02-28,441.778,1530.0,262.22388059701495,7.180000000000001,19925.0,48400.0,6.3518948707580565,0.2225
2025-03-01,419.416,1550.0,239.65671641791047,7.1000000000000005,19933.333333333332,48400.0,6.958105129241942,0.25333333333333335
2025-03-02,456.613,1710.0,224.5223880597015,7.0,19366.666666666668,48400.0,7.563105129241944,0.2866666666666667
2025-03-03,448.22,1680.0,217.0,6.928333333333334,19500.0,72850.0,10.630237283706665,0.305
2025-03-04,419.361,1690.0,205.5,7.013333333333334,21600.0,81000.0,9.112499999999999,0.26
2025-03-05,402.242,1920.0,194.0,7.057857142857142,23250.0,78225.0,9.6625,0.225
2025-03-06,449.077,2540.0,242.5,7.021428571428571,24000.0,77300.0,9.6625,0.21000000000000002
2025-03-07,533.934,2340.0,291.0,6.997142857142857,24500.0,81000.0,9.30183777809143,0.19999999999999998
2025-03-08,678.852,3070.0,335.51162790697674,6.972857142857143,25000.0,81000.0,10.630237283706665,0.245
2025-03-09,632.304,3140.0,423.0,6.948571428571429,25500.0,81000.0,10.902600030899047,0.29000000000000004
2025-03-10,551.249,2960.0,467.0,6.912142857142857,26250.0,74000.0,9.711574802398681,0.3575
2025-03-11,532.226,3190.0,461.5,6.9,27050.0,74000.0,9.96040002822876,0.375
2025-03-12,500.08900000000006,3450.0,456.0,6.9,27400.0,73400.0,10.065,0.365
2025-03-13,499.35600000000005,3520.0,465.0,6.9,26800.0,68200.0,9.561640312194823,0.35
2025-03-14,486.677,3810.0,421.0,6.9,28700.0,70600.0,10.149632688522338,0.48
2025-03-15,444.435,3420.0,421.0,6.9,28700.0,70600.0,9.898120323181152,0.4799999999999999
2025-03-16,427.799,2250.0,421.0,6.9,28700.0,70600.0,9.502760026931762,0.48
