date,t1_ph,h2s_ppm,biogas_vol,t1_olr,methane_percentage,eq_cod,t1_cod,fostac
2024-11-04,7.0,664.0,300.0,2.9925,0.6666,39900.0,1390.0,0.14
2024-11-05,7.0,650.0,690.0,2.3550000000000004,0.6271,31400.0,1695.0,0.16
2024-11-06,7.0,634.0,660.0,2.0024999999999995,0.6416,26700.0,1481.0,0.15
2024-11-07,7.0,538.0,770.0,2.0624999999999996,0.6132,27500.0,1934.0,0.16
2024-11-08,7.0,522.0,740.0,2.4675,0.6061,32900.0,1601.0,0.16
2024-11-11,6.89999999999999,431.0,760.0,2.6687499999999997,0.591,30500.0,1787.0,0.16
2024-11-12,6.899999999999989,463.0,1130.0,2.2575,0.5776,25800.0,1301.0,0.18
2024-11-13,6.8000000000000025,441.0,1120.0,2.8437499999999996,0.5806,32500.0,2125.0,0.17250000000000001
2024-11-14,6.89999999999999,393.0,1130.0,2.4324999999999997,0.583,27800.0,1648.0,0.17
2024-11-15,6.89999999999999,480.0,1060.0,2.4675,0.60351,28200.0,3268.0,0.16
2024-11-16,7.0,489.0,1070.0,2.2312499999999997,0.6064,25500.0,2260.0,0.13
2024-11-19,6.899999999999989,449.0,1000.0,3.7990501594543455,0.6202,38000.0,1118.0,0.11999999999999998
2024-11-20,6.8000000000000025,412.0,1160.0,2.9292676229476933,0.6071,29300.0,2436.0,0.1675
2024-11-21,6.899999999999989,436.0,1160.0,3.0692326288223266,0.6107,30700.0,1602.0,0.16
2024-11-22,6.8000000000000025,444.0,1190.0,3.9990001678466793,0.6095,40000.0,2553.0,0.15
2024-11-23,6.8000000000000025,456.46491228070175,1550.0,3.9990001678466793,0.6142061403508772,40000.0,2553.0,0.1475
2024-11-24,6.8000000000000025,480.82163742690057,1540.0,5.0,0.6234020467836258,40000.0,2553.0,0.14500000000000002
2024-11-25,6.89999999999999,493.0,1550.0,6.2749999999999995,0.628,50200.0,1019.0,0.14125000000000001
2024-11-26,6.800000000000002,479.0,2220.0,5.475,0.5763,43800.0,2733.0,0.2333333333333333
2024-11-27,6.899999999999989,530.0,1950.0,3.7375000000000003,0.6002,29900.0,5860.0,0.20666666666666667
2024-11-28,6.89999999999999,492.0,1540.0,3.225,0.6236,25800.0,5667.0,0.21
2024-11-29,6.89999999999999,486.0,1710.0,4.699999999999999,0.5944,37600.0,4583.0,0.16
2024-11-30,6.89999999999999,449.9302325581395,1970.0,4.699999999999999,0.5997976744186048,37600.0,4583.0,0.16333333333333333
2024-12-01,6.89999999999999,379.8401162790698,1910.0,4.699999999999999,0.6102863372093024,37600.0,4583.0,0.16666666666666669
2024-12-02,7.0,345.0,1910.0,8.475,0.6155,56500.0,3213.0,0.17
2024-12-03,6.899999999999992,421.0,2230.0,11.759999999999998,0.6038,78400.0,4633.0,0.23
2024-12-04,6.899999999999994,439.0,1180.0,8.144999999999998,0.6068,54300.0,2245.0,0.14
2024-12-05,6.899999999999992,530.0,1300.0,7.5,0.6302,50000.0,1558.0,0.12
2024-12-06,6.89999999999999,204.0,1830.0,3.3975,0.633,45300.0,1558.0,0.25
